target,package,type,name,configs
launcher-black-blue,com.android.launcher.black.blue,anim,abc_fade_in,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_fade_out,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_grow_fade_in_from_bottom,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_popup_enter,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_popup_exit,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_shrink_fade_out_from_bottom,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_slide_in_bottom,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_slide_in_top,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_slide_out_bottom,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_slide_out_top,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_tooltip_enter,default
launcher-black-blue,com.android.launcher.black.blue,anim,abc_tooltip_exit,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_checked_box_inner_merged_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_checked_box_outer_merged_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_checked_icon_null_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_unchecked_box_inner_merged_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_unchecked_check_path_merged_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_checkbox_to_unchecked_icon_null_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_off_mtrl_dot_group_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_off_mtrl_ring_outer_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_off_mtrl_ring_outer_path_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_on_mtrl_dot_group_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_on_mtrl_ring_outer_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,btn_radio_to_on_mtrl_ring_outer_path_animation,default
launcher-black-blue,com.android.launcher.black.blue,anim,fade_in_fast,default
launcher-black-blue,com.android.launcher.black.blue,anim,fade_out_fast,default
launcher-black-blue,com.android.launcher.black.blue,anim,no_anim,default
launcher-black-blue,com.android.launcher.black.blue,anim,task_open_enter,default
launcher-black-blue,com.android.launcher.black.blue,array,branch_integer_array,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,branch_string_array,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,extra_wallpapers,default
launcher-black-blue,com.android.launcher.black.blue,array,lunar_first_of_month,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,lunar_str,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,month_string_array,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,solar_festival,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,solar_term,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,special_festivals,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,tradition_festival,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,trunk_integer_array,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,trunk_string_array,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,wallpapers,default;nodpi
launcher-black-blue,com.android.launcher.black.blue,array,weather_pm25_quality,ar;bg;cs;da;de;default;el;en-rIE;es;fa;fi;fr;hu;in;it;iw;ja;ko;lt;lv;ms;nl;pl;pt;ro;ru;sk;th;tr;vi;zh-rCN;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,weather_weekday,ar;bg;cs;da;de;default;el;en-rIE;es;fa;fi;fr;hu;in;it;iw;ja;ko;lt;lv;ms;nl;pl;pt;ro;ru;sk;th;tr;vi;zh-rCN;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,weather_yahoo_condition,ar;bg;cs;da;de;default;el;en-rIE;es;fa;fi;fr;hu;in;it;iw;ja;ko;lt;lv;ms;nl;pl;pt;ro;ru;sk;th;tr;vi;zh-rCN;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,week_string_array,default;zh;zh-rHK;zh-rTW
launcher-black-blue,com.android.launcher.black.blue,array,yahoo_condition_image,default
launcher-black-blue,com.android.launcher.black.blue,array,year_view_week_string_array,default;zh
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarDivider,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarItemBackground,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarPopupTheme,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarSize,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarSplitStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarTabBarStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarTabStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarTabTextStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarTheme,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionBarWidgetTheme,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionButtonStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionDropDownStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionLayout,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionMenuTextAppearance,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionMenuTextColor,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeBackground,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeCloseButtonStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeCloseDrawable,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeCopyDrawable,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeCutDrawable,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeFindDrawable,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModePasteDrawable,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModePopupWindowStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeSelectAllDrawable,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeShareDrawable,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeSplitBackground,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionModeWebSearchDrawable,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionOverflowButtonStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionOverflowMenuStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionProviderClass,default
launcher-black-blue,com.android.launcher.black.blue,attr,actionViewClass,default
launcher-black-blue,com.android.launcher.black.blue,attr,activityChooserViewStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,alertDialogButtonGroupStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,alertDialogCenterButtons,default
launcher-black-blue,com.android.launcher.black.blue,attr,alertDialogStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,alertDialogTheme,default
launcher-black-blue,com.android.launcher.black.blue,attr,allowStacking,default
launcher-black-blue,com.android.launcher.black.blue,attr,alpha,default
launcher-black-blue,com.android.launcher.black.blue,attr,alphabeticModifiers,default
launcher-black-blue,com.android.launcher.black.blue,attr,arrowHeadLength,default
launcher-black-blue,com.android.launcher.black.blue,attr,arrowShaftLength,default
launcher-black-blue,com.android.launcher.black.blue,attr,autoCompleteTextViewStyle,default
launcher-black-blue,com.android.launcher.black.blue,attr,autoSizeMaxTextSize,default
launcher-black-blue,com.android.launcher.black.blue,attr,autoSizeMinTextSize,default
launcher-black-blue,com.android.launcher.black.blue,attr,autoSizePresetSizes,default
launcher-black-blue,com.android.launcher.black.blue,attr,autoSizeStepGranularity,default
launcher-black-blue,com.android.launcher.black.blue,attr,autoSizeTextType,default
launcher-black-blue,com.android.launcher.black.blue,attr,background,default
launcher-black-blue,com.android.launcher.black.blue,attr,backgroundSplit,default
launcher-black-blue,com.android.launcher.black.blue,attr,backgroundStacked,default
